source,target,date_min
file10663,file10667,1535-08-03
file10663,file10671,1535-08-03
file10666,file10669,1535-08-10
file10667,file10685,1535-08-17
file10667,file10671,1535-08-17
file10667,file10681,1535-08-17
file1067,file1069,1550-11-03
file1067,file1068,1550-11-03
file10670,file10686,1535-08-25
file10670,file10693,1535-08-25
file10670,file10680,1535-08-25
file10671,file10681,1535-08-28
file10671,file10685,1535-08-28
file10673,file10689,1535-08-29
file10675,file10690,1535-08-31
file1068,file1069,1550-11-03
file10680,file10693,1535-09-01
file10680,file10686,1535-09-03
file10681,file10685,1535-09-05
file10681,file10695,1535-09-05
file10685,file10695,1535-09-10
file10686,file10693,1535-09-01
file10689,file10701,1535-09-25
file10690,file10694,1535-09-28
file10695,file10704,1535-10-03
file10695,file10697,1535-10-03
file10695,file10705,1535-10-03
file10697,file10705,1535-10-11
file10697,file10704,1535-10-11
file10698,file10712,1535-10-12
file107,file83,1548-05-01
file1070,file1084,1550-11-04
file1070,file1087,1550-11-04
file10700,file10706,1535-10-16
file10700,file10702,1535-10-16
file10701,file10709,1535-10-18
file10701,file10710,1535-10-18
file10702,file10706,1535-10-22
file10704,file10705,1535-10-27
file10704,file10714,1535-10-27
file10704,file10713,1535-10-27
file10705,file10714,1535-10-28
file10705,file10713,1535-10-28
file10709,file10710,1535-11-02
file10712,file10721,1535-11-09
file10713,file10727,1535-11-13
file10713,file10728,1535-11-13
file10713,file10730,1535-11-13
file10713,file10729,1535-11-13
file10713,file10714,1535-11-13
file10714,file10727,1535-11-13
file10714,file10728,1535-11-13
file10714,file10729,1535-11-13
file10714,file10730,1535-11-13
file10718,file10722,1535-11-16
file1072,file1083,1550-11-08
file10720,file10737,1535-11-17
file10721,file10738,1535-11-17
file10723,file10726,1535-11-23
file10727,file10743,1535-11-29
file10727,file10728,1535-11-29
file10727,file10729,1535-11-29
file10727,file10730,1535-11-29
file10727,file10739,1535-11-29
file10728,file10729,1535-11-29
file10728,file10730,1535-11-29
file10728,file10739,1535-11-29
file10728,file10743,1535-11-29
file10729,file10730,1535-11-29
file10729,file10739,1535-11-29
file10729,file10743,1535-11-29
file1073,file1077,1550-11-10
file10730,file10739,1535-11-30
file10730,file10743,1535-11-30
file10731,file10737,1535-11-30
file10733,file10735,1535-12-03
file10736,file10741,1535-12-12
file10736,file10751,1535-12-12
file10736,file10759,1535-12-12
file10736,file10740,1535-12-12
file10738,file10744,1535-12-13
file10739,file10743,1535-12-14
file1074,file1102,1550-11-11
file10740,file10741,1535-12-14
file10740,file10759,1535-12-14
file10740,file10751,1535-12-14
file10741,file10751,1535-12-19
file10741,file10759,1535-12-19
file10741,file10763,1535-12-19
file10743,file10762,1535-12-25
file10747,file10774,1536-01-02
file10751,file10769,1536-01-04
file10751,file10770,1536-01-04
file10751,file10763,1536-01-04
file10751,file10759,1536-01-04
file10752,file10753,1536-01-07
file10754,file10768,1536-01-07
file10754,file10758,1536-01-07
file10756,file10771,1536-01-10
file10756,file10791,1536-01-10
file10756,file10765,1536-01-10
file10757,file10766,1536-01-10
file10758,file10768,1536-01-10
file10759,file10769,1536-01-11
file10759,file10770,1536-01-11
file10759,file10763,1536-01-11
file10760,file10767,1536-01-13
file10760,file10773,1536-01-13
file10760,file10779,1536-01-13
file10763,file10769,1536-01-14
file10763,file10770,1536-01-14
file10765,file10771,1536-01-17
file10765,file10791,1536-01-17
file10767,file10773,1536-01-18
